opponent_school,opponent,score,result,date
University of Illinois at Urbana-Champaign,Tyler Bowers,6-1 6-0,W,03/20/25
Purdue University,Stefan Simeunovic Oakville,7-5 6-1,W,03/08/25
Indiana University,Sam Scherer,7-6(3) 3-6 1-0(7),W,03/06/25
University of Southern California,Volodymyr Iakubenko,6-3 6-2,W,02/21/25
Pepperdine University,Aleksa Pisaric,7-6(3) 6-4,W,02/15/25
Stanford University,Henry Von Der Schulenburg,4-6 4-6,L,02/01/25
"University of California, Berkeley",Derrick Chen,6-3 6-1,W,01/31/25
University of Georgia,Oscar Pinto Sansano,6-1 7-5,W,01/25/25
Texas A&M University,Togan Tokac,6-4 6-3,W,01/24/25
University of San Diego,Adrien Berrut,5-7 4-6,L,01/19/25
"University of California, Irvine",Lawee Sherif,6-2 6-3,W,01/16/25
,Emon Van Loben Sels,4-6 1-6 2-6,L,11/19/24
,Emon Van Loben Sels,4-6 1-6 2-6,L,11/19/24
,Alexander Chang,4-6 4-6,L,11/19/24
,Nedim Suko,6-3 6-2,W,11/19/24
