opponent_school,opponent,score,result,date
Stanford University,Hudson Rivera,6-4 5-7 3-6,L,02/01/25
University of Georgia,Gabriele Vulpitta,6-1 6-3,W,01/25/25
Texas A&M University,Giulio Perego,2-6 2-6,L,01/24/25
University of San Diego,Neo Niedner,6-3 6-1,W,01/19/25
"University of California, Irvine",Huang Ruining,6-4 7-6(4),W,01/16/25
,Theodore Dean,5-7 1-6,L,11/19/24
,Timofey Stepanov,7-5 3-6 4-6,L,11/19/24
,Makk Peter,6-2 6-2,W,11/19/24
,Soham Purohit,0-6 6-3 6-2,W,11/19/24
,Lucca Liu,6-3 6-7(7) 1-6,L,10/21/24
,Niels Hoffmann,6-4 6-7(7) 6-0,W,10/21/24
,Oscar Pinto Sansano,6-3 2-6 6-3,W,09/28/24
,Luca Staeheli,2-6 6-3 4-6,L,09/28/24
