Event Name,Date,Player1,Player2,Player1 UTR,Player2 UTR,Score
62nd Annual Long Beach Junior Tournament (Level 3),2019-03-03,Kate Fakih,Savannah Webster,10.43,8.0,"6-2, 6-1"
62nd Annual Long Beach Junior Tournament (Level 3),2019-03-03,Geetika Sreeram,Mia Jovic,0.0,8.0,"6-1, 6-2"
62nd Annual Long Beach Junior Tournament (Level 3),2019-03-03,Olivia Center,Skye Belker,9.95,0.0,"6-0, 6-1"
62nd Annual Long Beach Junior Tournament (Level 3),2019-03-03,Makaila Cheng,Olivia Center,8.0,9.95,"6-2, 6-3"
62nd Annual Long Beach Junior Tournament (Level 3),2019-03-03,Kate Fakih,Morgan Arnott,10.43,8.0,"6-2, 6-0"
USTA American Closed Transition Tour Wild Card Tournament,2019-03-01,Kimmi Hance,Terri Fleming,10.46,0.0,"6-1, 6-1"
USTA American Closed Transition Tour Wild Card Tournament,2019-03-01,Kimmi Hance,Izabel Kuzmanova,10.46,0.0,"6-4, 6-3"
USTA American Closed Transition Tour Wild Card Tournament,2019-03-01,Kimmi Hance,Allura Zamarripa,10.46,11.17,"6-4, 6-4"
USTA American Closed Transition Tour Wild Card Tournament,2019-03-01,Kimmi Hance,Camille Kiss,10.46,10.01,"6-4, 6-1"
USTA American Closed Transition Tour Wild Card Tournament,2019-03-01,Kimmi Hance,Tatiana Betancourt,10.46,5.0,"6-0, 6-1"
J4 La Libertad,2019-03-01,Elise Wagle,Daniela Ramos,10.0,7.0,"6-1, 6-0"
J4 La Libertad,2019-03-01,Elise Wagle,Taylor Cataldi,10.0,10.0,"6-1, 6-4"
J4 La Libertad,2019-03-01,Elise Wagle,Mariajose Hernandez Coronado,10.0,7.0,"6-1, 6-1"
J4 La Libertad,2019-03-01,Sara CRUZ BONILLA,Elise Wagle,8.0,10.0,"6-3, 7-5"
J4 Guatemala,2019-02-22,Annabelle Xu,Elise Wagle,10.0,10.0,"7-5, 6-3"
J4 Guatemala,2019-02-22,Elise Wagle,Chiara Di Genova,10.0,9.62,"6-2, 6-1"
J4 Guatemala,2019-02-22,Elise Wagle,Ava Catanzarite,10.0,10.0,"3-6, 6-2, 6-4"
